variation,dilations,k,kernel_size,channels,dropout,weight_decay,lr,batch_size,total_epochs,patience,runs,best_epoch,val_loss_1_step,MSE_rec,MAE_rec
1,"[1, 2]",10,3,8,0.0,,0.001,32,1500,200,5,298.00 += 134.09,2.79e+01 += 1.05e+01,1929.98 += 83.64,33.82 += 3.37
2,"[1, 2, 4]",10,3,16,0.0,,0.001,32,1500,200,5,764.00 += 275.40,3.90e+00 += 8.64e-01,2185.53 += 841.21,28.87 += 7.22
3,"[1, 2, 4]",10,3,16,0.0,,0.0005,32,1500,200,5,726.00 += 463.26,6.40e+00 += 1.77e+00,42649.95 += 69859.64,94.64 += 105.83
4,"[1, 2, 4]",10,3,32,0.0,,0.0005,32,1500,200,5,1033.40 += 258.60,2.65e+00 += 2.10e-01,1806.41 += 1388.59,23.04 += 12.40
5,"[1, 2, 4]",20,3,8,0.0,,0.001,32,1500,200,5,821.80 += 445.96,1.13e+01 += 4.44e+00,4423.92 += 3168.34,42.14 += 14.75
6,"[1, 2, 4, 8]",20,3,16,0.0,,0.001,32,1500,200,5,1204.60 += 125.84,2.33e+00 += 3.17e-01,1696.27 += 1555.28,22.29 += 12.53
7,"[1, 2, 4, 8]",20,3,16,0.0,,0.0005,32,1500,200,5,852.60 += 407.17,4.00e+00 += 1.76e+00,3334.10 += 923.64,122134315113067344.00 += 244268630226134624.00
8,"[1, 2, 4, 8]",20,3,32,0.0,,0.0005,32,1500,200,5,654.00 += 152.19,2.25e+00 += 2.62e-01,85564594.27 += 171125958.87,867.79 += 1685.48
9,"[1, 2, 4, 8]",50,3,8,0.0,,0.001,32,1500,200,5,1067.20 += 443.22,5.41e+00 += 1.58e+00,27076921711658437263665135616.00 += 54153843423316883323423293440.00,13864776027361.12 += 27729552054671.44
10,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.001,32,1500,200,5,788.40 += 134.68,2.75e+00 += 3.39e-01,1462.11 += 504.79,22.17 += 7.00
11,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.0005,32,1500,200,5,1023.40 += 301.05,2.63e+00 += 2.88e-01,1717.09 += 715.14,24.22 += 7.36
