variation,dilations,k,kernel_size,channels,dropout,weight_decay,lr,batch_size,total_epochs,patience,runs,best_epoch,val_loss_1_step,MSE_rec,MAE_rec
1,"[1, 2]",10,3,8,0.0,,0.001,32,1500,200,5,298.00 += 134.09,2.79e+01 += 1.05e+01,1929.98 += 83.64,33.82 += 3.37
2,"[1, 2, 4]",10,3,16,0.0,,0.001,32,1500,200,5,764.00 += 275.40,3.90e+00 += 8.64e-01,2185.53 += 841.21,28.87 += 7.22
3,"[1, 2, 4]",10,3,16,0.0,,0.0005,32,1500,200,5,726.00 += 463.26,6.40e+00 += 1.77e+00,42649.95 += 69859.64,94.64 += 105.83
4,"[1, 2, 4]",10,3,32,0.0,,0.0005,32,1500,200,5,1033.40 += 258.60,2.65e+00 += 2.10e-01,1806.41 += 1388.59,23.04 += 12.40
5,"[1, 2, 4]",20,3,8,0.0,,0.001,32,1500,200,5,821.80 += 445.96,1.13e+01 += 4.44e+00,4423.92 += 3168.34,42.14 += 14.75
6,"[1, 2, 4, 8]",20,3,16,0.0,,0.001,32,1500,200,5,1204.60 += 125.84,2.33e+00 += 3.17e-01,1696.27 += 1555.28,22.29 += 12.53
7,"[1, 2, 4, 8]",20,3,16,0.0,,0.0005,32,1500,200,5,852.60 += 407.17,4.00e+00 += 1.76e+00,3334.10 += 923.64,122134315113067344.00 += 244268630226134624.00
8,"[1, 2, 4, 8]",20,3,32,0.0,,0.0005,32,1500,200,5,654.00 += 152.19,2.25e+00 += 2.62e-01,85564594.27 += 171125958.87,867.79 += 1685.48
9,"[1, 2, 4, 8]",50,3,8,0.0,,0.001,32,1500,200,5,1067.20 += 443.22,5.41e+00 += 1.58e+00,27076921711658437263665135616.00 += 54153843423316883323423293440.00,13864776027361.12 += 27729552054671.44
10,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.001,32,1500,200,5,788.40 += 134.68,2.75e+00 += 3.39e-01,1462.11 += 504.79,22.17 += 7.00
11,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.0005,32,1500,200,5,1023.40 += 301.05,2.63e+00 += 2.88e-01,1717.09 += 715.14,24.22 += 7.36
12,"[1, 2, 4, 8, 16]",50,3,32,0.0,,0.0005,32,1500,200,5,672.20 += 290.17,2.26e+00 += 3.69e-01,1604.00 += 1134.93,21.08 += 9.10
13,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.0001,32,1500,200,5,1163.00 += 382.05,5.34e+00 += 2.07e+00,8375838443044.08 += 14507377735710.38,276724969282722293421269913174016.00 += 553449938565444586842539826348032.00
1,"[1, 2]",10,3,8,0.0,,0.001,32,1500,200,5,327.40 += 175.84,7.91e+07 += 4.14e+07,790.76 += 413.71,18.19 += 6.40
2,"[1, 2, 4]",10,3,16,0.0,,0.001,32,1500,200,5,188.20 += 133.87,7.59e+07 += 4.70e+07,759.34 += 470.39,19.18 += 7.89
3,"[1, 2, 4]",10,3,16,0.0,,0.0005,32,1500,200,5,148.40 += 104.38,6.67e+07 += 3.00e+07,667.09 += 300.31,17.05 += 5.09
4,"[1, 2, 4]",10,3,32,0.0,,0.0005,32,1500,200,5,138.20 += 126.74,2.29e+07 += 2.08e+07,229.46 += 207.88,9.13 += 4.71
5,"[1, 2, 4]",20,3,8,0.0,,0.001,32,1500,200,5,60.80 += 8.40,9.85e+07 += 6.48e+07,985.11 += 647.67,22.12 += 9.25
21,"[1, 2, 4, 8, 16]",100,3,8,0.0,,0.001,32,1500,200,5,278.80 += 193.59,4.25e+07 += 5.59e+07,424.93 += 558.82,12.28 += 10.76
6,"[1, 2, 4, 8]",20,3,16,0.0,,0.001,32,1500,200,5,131.80 += 127.24,1.00e+07 += 4.98e+06,100.08 += 49.85,6.47 += 1.97
7,"[1, 2, 4, 8]",20,3,16,0.0,,0.0005,32,1500,200,5,212.60 += 156.57,2.34e+07 += 1.77e+07,234.39 += 177.27,9.16 += 4.31
8,"[1, 2, 4, 8]",20,3,32,0.0,,0.0005,32,1500,200,5,328.80 += 478.28,7.64e+07 += 6.62e+07,763.89 += 662.11,16.63 += 12.14
9,"[1, 2, 4, 8]",50,3,8,0.0,,0.001,32,1500,200,5,196.40 += 73.24,7.89e+07 += 5.11e+07,789.13 += 510.98,17.84 += 8.27
10,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.001,32,1500,200,5,200.00 += 128.73,2.22e+07 += 2.84e+07,221.63 += 283.86,7.29 += 3.85
11,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.0005,32,1500,200,5,320.80 += 353.53,2.83e+07 += 3.96e+07,283.42 += 396.40,8.47 += 6.42
12,"[1, 2, 4, 8, 16]",50,3,32,0.0,,0.0005,32,1500,200,5,102.20 += 94.87,3.55e+07 += 3.15e+07,355.05 += 315.47,11.42 += 6.47
13,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.0001,32,1500,200,5,125.60 += 64.02,7.53e+07 += 4.63e+07,753.15 += 462.61,19.31 += 8.20
14,"[1, 2, 4, 8, 16]",100,3,8,0.0,,0.001,32,1500,200,5,49.00 += 38.55,1.10e+08 += 5.83e+07,1101.47 += 582.51,21.88 += 7.21
15,"[1, 2, 4, 8, 16, 32]",100,3,16,0.0,,0.001,32,1500,200,5,248.60 += 123.51,3.64e+07 += 6.70e+07,364.24 += 669.51,9.08 += 10.88
16,"[1, 2, 4, 8, 16, 32]",100,3,16,0.0,,0.0005,32,1500,200,5,218.60 += 133.82,1.83e+07 += 2.29e+07,183.26 += 228.52,6.94 += 3.32
17,"[1, 2, 4, 8, 16, 32]",100,3,32,0.0,,0.0005,32,1500,200,5,297.00 += 285.98,2.04e+07 += 2.51e+07,204.41 += 250.71,7.04 += 5.70
18,"[1, 2, 4, 8, 16, 32]",100,3,16,0.0,,0.0001,32,1500,200,5,132.00 += 82.08,9.35e+07 += 6.20e+07,935.42 += 619.83,21.61 += 9.76
19,"[1, 2, 4, 8, 16]",100,3,8,0.05,,0.001,32,1500,200,5,164.80 += 179.26,6.54e+07 += 6.58e+07,653.91 += 658.34,17.63 += 10.67
20,"[1, 2, 4, 8, 16]",100,3,8,0.1,,0.001,32,1500,200,5,168.00 += 151.92,4.99e+07 += 6.26e+07,498.96 += 626.14,12.96 += 9.46
22,"[1, 2, 4, 8, 16]",100,3,16,0.0,,0.001,32,1500,200,5,106.60 += 97.79,7.47e+07 += 4.46e+07,747.02 += 446.10,18.76 += 7.89
22,"[1, 2, 4, 8, 16]",100,3,16,0.05,,0.001,32,1500,200,5,193.20 += 158.11,5.42e+07 += 5.27e+07,542.42 += 527.16,14.04 += 9.11
23,"[1, 2, 4, 8, 16]",100,3,16,0.1,,0.001,32,1500,200,5,341.80 += 126.56,2.76e+06 += 1.98e+06,27.65 += 19.78,3.43 += 1.33
24,"[1, 2, 4, 8, 16, 32]",100,3,8,0.0,,0.001,32,1500,200,5,356.40 += 231.05,4.18e+07 += 6.01e+07,417.75 += 601.41,12.35 += 10.35
25,"[1, 2, 4, 8, 16, 32]",100,3,8,0.05,,0.001,32,1500,200,5,265.80 += 355.81,4.83e+07 += 3.56e+07,483.18 += 356.27,14.25 += 7.44
26,"[1, 2, 4, 8, 16, 32]",100,3,8,0.1,,0.001,32,1500,200,5,187.80 += 188.60,6.81e+07 += 7.94e+07,680.79 += 793.64,14.73 += 13.51
27,"[1, 2, 4, 8]",20,3,16,0.0,,0.0005,32,1500,200,5,328.20 += 154.28,2.08e+07 += 2.34e+07,208.02 += 234.03,7.21 += 3.31
28,"[1, 2, 4, 8]",20,3,16,0.05,,0.0005,32,1500,200,5,160.80 += 112.88,4.39e+07 += 4.10e+07,439.33 += 410.44,13.27 += 8.04
29,"[1, 2, 4, 8]",20,3,16,0.1,,0.0005,32,1500,200,5,291.80 += 266.31,2.68e+07 += 2.99e+07,267.97 += 298.76,10.02 += 6.34
30,"[1, 2, 4]",10,3,32,0.0,,0.0005,32,1500,200,5,161.80 += 124.38,2.82e+07 += 1.87e+07,281.62 += 186.88,11.19 += 3.42
