,variation,dilations,k,kernel_size,channels,dropout,weight_decay,lr,best_epoch,val_loss_1_step,MSE_rec,MAE_rec
36,23,"[1, 2, 4, 8, 16]",100,3,16,0.1,,0.001,341.80 += 126.56,2.76e+06 += 1.98e+06,27.65 += 19.78,3.43 += 1.33
19,6,"[1, 2, 4, 8]",20,3,16,0.0,,0.001,131.80 += 127.24,1.00e+07 += 4.98e+06,100.08 += 49.85,6.47 += 1.97
46,33,"[1, 2, 4, 8, 16]",50,3,32,0.0,,0.0005,255.20 += 200.50,1.32e+07 += 1.15e+07,131.70 += 114.85,6.02 += 3.04
29,16,"[1, 2, 4, 8, 16, 32]",100,3,16,0.0,,0.0005,218.60 += 133.82,1.83e+07 += 2.29e+07,183.26 += 228.52,6.94 += 3.32
30,17,"[1, 2, 4, 8, 16, 32]",100,3,32,0.0,,0.0005,297.00 += 285.98,2.04e+07 += 2.51e+07,204.41 += 250.71,7.04 += 5.70
48,35,"[1, 2, 4, 8, 16]",50,3,32,0.1,,0.0005,239.20 += 181.24,2.06e+07 += 2.05e+07,205.57 += 204.93,8.20 += 5.48
40,27,"[1, 2, 4, 8]",20,3,16,0.0,,0.0005,328.20 += 154.28,2.08e+07 += 2.34e+07,208.02 += 234.03,7.21 += 3.31
47,34,"[1, 2, 4, 8, 16]",50,3,32,0.05,,0.0005,325.60 += 240.50,2.21e+07 += 3.73e+07,221.45 += 373.47,7.88 += 8.24
23,10,"[1, 2, 4, 8, 16]",50,3,16,0.0,,0.001,200.00 += 128.73,2.22e+07 += 2.84e+07,221.63 += 283.86,7.29 += 3.85
16,4,"[1, 2, 4]",10,3,32,0.0,,0.0005,138.20 += 126.74,2.29e+07 += 2.08e+07,229.46 += 207.88,9.13 += 4.71
